Email,Phone Number
rdc.raigad@maharashtra.gov.in,020-26122114
collector.raigad@maharashtra.gov.in,020-26114949
rdc.ratnagiri@maharashtra.gov.in,02141-222118
collector.ratnagiri@maharashtra.gov.in,02141-222001
rdc.sangli@maharashtra.gov.in,02352-223573
collector.sangli@maharashtra.gov.in,02352-222301
rdc.satara@maharashtra.gov.in,0233-2600185
collector.satara@maharashtra.gov.in,0233-2602001
rdc.sindhudurg@maharashtra.gov.in,02162-232175
collector.sindhudurg@maharashtra.gov.in,02162-232750
rdc.solapur@maharashtra.gov.in,02362-228845
collector.solapur@maharashtra.gov.in,02362-228844
collectorofficethane@gmail.com,0217-2731002
collector.thane@maharashtra.gov.in,0217-2731000
rdc.wardha@maharashtra.gov.in,022-25345130
collector.wardha@maharashtra.gov.in,022-25344041
rdc.washim@maharashtra.gov.in,07152-240872
collector.washim@maharashtra.gov.in,07152-240102
rdc.yavatmal@maharashtra.gov.in,07252-233653
collector.yavatmal@maharashtra.gov.in,07252-233400
dyceogen_nagar@rediffmail.com,07232-242488
ceozp.ahmednagar@maharashtra.gov.in,07232-242501
dyceogzpakola@gmail.com,0241-2353695
ceozp.akola@maharashtra.gov.in,0241-2355219
dyceozpamt@gmail.com,0724-2436938
ceozp.amravati@maharashtra.gov.in,0724-2435213
gadzpaurangabad@gmail.com,0721-2662932
ceozp.aurangabad@maharashtra.gov.in,0721-2662926
dyceobeedgad@gmail.com,0240-2331576
ceozp.beed@maharashtra.gov.in,0240-2331291
zpbeed@rediffmail.com,02442-222342
dyceogzpbhandara@gmail.com,02442-222323
ceozp.bhandara@maharashtra.gov.in,02442-222205
dyceogbuldana@gmail.com,07184-252262
ceozp.buldhana@maharashtra.gov.in,07184-252331
dyceopgzpchandrapur@gmail.com,07262-242350
ceozp.chandrapur@maharashtra.gov.in,07262-242309
dyceo.gen@gmail.com,07172-255592
ceozp.dhule@maharashtra.gov.in,07172-256401
dyceogad.gadchiroli@maharashtra.gov.in,02562-237189
ceozp.gadchiroli@maharashtra.gov.in,02562-237701
dyceogenzpgondia@rediffmail.com,07132-222642
ceozp.gondia@maharashtra.gov.in,07132-222304
ceozphng@gmail.com,07182-236155
ceozp.hingoli@maharashtra.gov.in,07182-236425
dyceogenjalgaon@gmail.com,02456-222472
ceozp.jalgaon@maharashtra.gov.in,02456-221826
jalnadyceogad@gmail.com,0257-2224255
ceozp.jalna@maharashtra.gov.in,0257-2223114
dyceogenkop@gmail.com,02482-225656
ceozp.kolhapur@maharashtra.gov.in,02482-225792
dyceogenlatur@gmail.com,0231-2655416 2652
ceozp.latur@maharashtra.gov.in,0231-2655598
dyceog.zpngp@gmail.com,02382-242991
ceozp.nagpur@maharashtra.gov.in,02382-242970
dyceogadnanded@gmail.com,0712-2565145
ceozp.nanded@maharashtra.gov.in,0712-2561461
dyceogadnbr@gmail.com,02462-234668
ceozp.nandurbar@maharashtra.gov.in,02462-234207
gadzpnsk@gmail.com,02564-210222
ceozp.nashik@maharashtra.gov.in,02564-210221
dyceo.gadosmanabad@gmail.com,0253-2591010
ceozp.osmanabad@maharashtra.gov.in,0253-2596957
gadzppalghar@gmail.com,7279
ceozp.palghar@maharashtra.gov.in,02472-223388
dyceogzppbn@gmail.com,02472-226840
ceozp.parbhani@maharashtra.gov.in,02525-250800
dyceogad.punezp@gmail.com,02525-250800
ceozp.pune@maharashtra.gov.in,02452-242523
dyceogenraigad@yahoo.com,02452-242900
ceozp.raigad@maharashtra.gov.in,020-26134806
vprtn@yahoo.in,020-26134313
ceozp.ratnagiri@maharashtra.gov.in,02141-222082
deputyceo@ymail.com,02141-222024
ceozp.sangli@maharashtra.gov.in,02352-222428
dyceogad.satara@maharashtra.gov.in,02352-222386
ceozp.satara@maharashtra.gov.in,0233-2372725
dyceosin@yahoo.com,0233-2373008
ceozp.sindhudurg@maharashtra.gov.in,02162-238126
dyceogad.solapur@gmail.com,02162-230688
ceozp.solapur@maharashtra.gov.in,02362-228817
gadzpthane@gmail.com,02362-228807
ceozp.thane@maharashtra.gov.in,0217-2727035
dyceogenzpwardha@yahoo.com,0217-2625500
ceozp.wardha@maharashtra.gov.in,022-25333733
dyceowashim@gmai.com,022-25332796
ceozp.washim@maharashtra.gov.in,07152-243211
dyceog.yavatmal@maharashtra.gov.in,07152-240231
ceozp.yavatmal@maharashtra.gov.in,07252-232862
mcorp.ahmc@maha.gov.in,07252-232861
amc_anr@redifmail.com,07232-244471
amcakola@yahoo.co.in,07232-244251
amcakola@yahoo.co.in,0241-2345051
amravaticorporation@yahoo.in,0241-2345127
amravaticorporation@yahoo.in,0724-2435503
acomm@aurangabadmahapalika.org,0724-2424442
contact@aurangabadmahapalika.org,0721-2566479
mcorp.bnmc@sttl.com,0721-2579292
commissioner@bncmc.gov.in,0721-2576469
com.chandrapur@gmail.com,0240-2321664
com.chandrapur@gmail.com,0240-2333536
dmc.dyadm@gmail.com,0240-2348001
dmc.dyadm@gmail.com,02522-2321664
projectjcmc@gmail.com,02522 255 314
jcmcjalgaon@gmail.com,07172
kdmccommissioner@gmail.com,250220
commissionerkdmc@gmail.com,07172
dmc@kolhapurcorporation.gov.in,250220
comm@kolhapurcorporation.gov.in,02562
wsambhaji@gmail.com,288712
mclatur@yahoo.co.in,02562
mclatur@gmail.com,288711
commissioner@nashikcorporation.in,0257-2222265
mcorp.mmc@sttl.com,91-257-222-2261
mbmc.commissioner@gmail.com,0251-2206206
mbmc.commissioner@gmail.com,0251-2204065
mc@mcgm.gov.in,0231-2540298
mc@mcgm.gov.in,0231-2540291
nmcnagpur@gmail.com,0238-2246074
nmcegov@gmail.com,02382242803
dmc_gad@nwcmc.gov.in,02382246076
commissioner@nwcmc.gov.in,02554-231950
addcommissioner@nashikcorporation.in,02554-231800
commissioner@nashikcorporation.in,231801
commissioner@nmmconline.com,022 28197635
commissioner@nmmconline.com,022-28197635
dmc.lengarekar@gmail.com,022-22620251
panvelcorporation@gmail.com,022-22620525
pcmcparbhani@gmail.com,0712-2567005
pcmcparbhani@gmail.com,0712 2567035
s.hardikar@pcmcindia.gov.in,02462-235710
egov@pcmcindia.gov.in,02462-234405
sarathi@pcmcindia.gov.in,0253-2222611
mcorp.pmc@sttl.com,0253-2578206
info@punecorporation.org,022-27567171
smkcorporation@gmail.com,022-27567171
smkcorporation@gmail.com,022-27458040
addcommissioner@solapurcorporation.gov.in,022-27458040
commissioner@solapurcorporation.in,02452-223638
mc@thanecity.gov.in,02452-223638
mc@thanecity.gov.in,020-27426331
commissionerulhasnagar@gmail.com,020-27425511
commissioner@umc.gov.in,020-25501000
saziz40@gmail.com,020-25501000
vasaivirarcorporation@yahoo.com,0233-2223271
asp.ahmednagar.anr@mahapolice.gov.in,0233-2373721
sp.ahmednagar@mahapolice.gov.in,0217-2740304
dsp.home.akola@mahapolice.gov.in,0217-2740300
sp.akola@mahapolice.gov.in,91-22-25336529
dcpzoneI.cpamt@mahapolice.gov.in,91-22-25336523
cp.amravati@mahapolice.gov.in,0251-2720175
aspamravati.amr@mahapolice.gov.in,+91 251 2720116
sp.amravati.r@mahapolice.gov.in,0250-2525105
dcpzoneI.abad@mahapolice.gov.in,0250-2529885
cp.aurangabad@mahapolice.gov.in,0241-2416104
hqhome.abdr@mahapolice.gov.in,0241-2416101
sp.aurangabad.r@mahapolice.gov.in,0724-2435059
dysphq.beed@mahapolice.gov.in,0724-2435002
sp.beed@mahapolice.gov.in,0721-2551003
dysp.home.bhandara@mahapolice.gov.in,0721-2551001
sp.bhandara@mahapolice.gov.in,0721-2662007
dysphq.buld@mahapolice.gov.in,0721-2664800
sp.buldhana@mahapolice.gov.in,0240-2240502
dysp.home.chandrapur@mahapolice.gov.in,0240-2240501
sp.chandrapur@mahapolice.gov.in,0240-2380979
dysp.home.dhule@mahapolice.gov.in,0240-2380808
sp.dhule@mahapolice.gov.in,02442-225124
dysp.home.gadchiroli@mahapolice.gov.in,02442-222301
sp.gadchiroli@mahapolice.gov.in,07184-254701
dysp.home.gondia@mahapolice.gov.in,07184-252440
sp.gondia@mahapolice.gov.in,07262-244925
dysp.home.hingoli@mahapolice.gov.in,07262
sp.hingoli@mahapolice.gov.in,242395
addsp.jalgon@mahapolice.gov.in,07172
sp.jalgaon@mahapolice.gov.in,261155
addsp.jalna@mahapolice.gov.in,07172-255100
sp.jalna@mahapolice.gov.in,02562-288204
dysp.home.kolhapur@mahapolice.gov.in,02562-288200
sp.kolhapur@mahapolice.gov.in,07132-222155
dysp.home.latur@mahapolice.gov.in,07132-222151
sp.latur@mahapolice.gov.in,07182-233655
cp.mumbai@mahapolice.gov.in,07182-226893
cp.mumbai@mahapolice.gov.in,02456-221787
dcpspl.ngp@mahapolice.gov.in,02456-221744
cp.nagpur@mahapolice.gov.in,0257-2220413
dysp.home.nagpur-Rural@mahapolice.gov.in,0257-2220411
sp.nagpur.r@mahapolice.gov.in,02482-224913
dysp.home.nanded@mahapolice.gov.in,02482-225601
sp.nanded@mahapolice.gov.in,0231-2657591
dysp.home.nandurbar@mahapolice.gov.in,0231-2653960
sp.nandurbar@mahapolice.gov.in,02382-243402
dcpzone.nashikcp@mahapolice.gov.in,02382-243000
cp.nashik@mahapolice.gov.in,022-22633319
addsp.nashik@mahapolice.gov.in,022-22620826
sp.nashik.r@mahapolice.gov.in,0712-2564862
cp.navimumbai.dcp.hq@mahapolice.gov.in,0712-2560601
cp.navimumbai@mahapolice.gov.in,0712-2560779
dysp.home.osamanabad@mahapolice.gov.in,0712-2562139
sp.osmanabad@mahapolice.gov.in,02462
dysp.home.palghar@mahapolice.gov.in,234031
sp.palghar@mahapolice.gov.in,02462-234504
dysp.home.parbhani@mahapolice.gov.in,02564-222211
sp.parbhani@mahapolice.gov.in,02564-223213
cp.pune@mahapolice.gov.in,0253-2305205
cp.pune@mahapolice.gov.in,0253-2305200
dysp.home.punerural@mahapolice.gov.in,0253-258902
sp.pune.r@mahapolice.gov.in,0253-2578238
dysp.home.raigad@mahapolice.gov.in,022-27574477
sp.raigad@mahapolice.gov.in,022-27572209
dysp.home.ratnagiri@mahapolice.gov.in,02472-227622
sp.ratnagiri@mahapolice.gov.in,02472-227620
dysp.home.sangli@mahapolice.gov.in,02525
sp.sangli@mahapolice.gov.in,2511003
dysp.home.satara@mahapolice.gov.in,02525-251100
sp.satara@mahapolice.gov.in,02452-225001
addsp.sindhudurg@mahapolice.gov.in,02452-223444
sp.sindhudurg@mahapolice.gov.in,020-24454450
dcphq.cpsol@mahapolice.gov.in,020-26208100
cp.solapur@mahapolice.gov.in,020-25651127
dysp.home.solapurrural@mahapolice.gov.in,020-25657878
sp.solapur.r@mahapolice.gov.in,02141-222007
dcphq2@thanepolice.org,02141-222093
cp.thane@mahapolice.gov.in,02352
dysp.home.thanerural@mahapolice.gov.in,222476
sp.thane.r@mahapolice.gov.in,02352
dysp.home.wardha@mahapolice.gov.in,225077
sp.wardha@mahapolice.gov.in,0233-2671042
dysp.home.washim@mahapolice.gov.in,0233-2672323
sp.washim@mahapolice.gov.in,02162-234776
dysp.home.yavatmal@mahapolice.gov.in,02162-232225
sp.yavatmal@mahapolice.gov.in,02362-228225
kiran.patil74@nic.in,02363-228201
acs.agri@maharashtra.gov.in,0217-2744602
ravindra.gurav@nic.in,0217-2744601
sec.adf@maharashtra.gov.in,0217-2732003
ashok.uike@nic.in,0217-2732001
sec.adf@maharashtra.gov.in,022-25343130
vijay.chaudhari@nic.in,022-25344499
sec.adf@maharashtra.gov.in,022-25362020
sudin.gaikwad@gov.in,022-25343027
psec.coop@maharashtra.gov.in,07152-232503
baliram.chavhan@nic.in,07152
acs.textile@maharashtra.gov.in,232501
Kalu.Valvi@nic.in,07252-231355
acs.textile@maharashtra.gov.in,07252-232134
baban.mandwe@nic.in,07232-256705
psec.sded@maharashtra.gov.in,07232-256701
mahendra.hajari@nic.in,022-22024476
psec.env@maharashtra.gov.in,022-22025357
vivek.dahiphale@nic.in,022-22027639
acs.finance@maharashtra.gov.in,022-22027018
vivek.dahiphale@nic.in,022-22024776
psec.exp@maharashtra.gov.in,022-22027018
vivek.dahiphale@nic.in,022-22026169
psec.reforms@maharashtra.gov.in,022-22027018
vivek.dahiphale@nic.in,022-22843586
psec.acctres@maharashtra.gov.in,022-22025283
satish.supe@nic.in,022-22025159
Psec.fcs@maharashtra.gov.in,022-22836819
sanjay.bhosale@nic.in,022-22813826
acs.onm@maharashtra.gov.in,022-22836819
namdeo.mali@nic.in,022-22048309
psec.protocol@maharashtra.gov.in,022-22047236
gajanan.gurav@nic.in,022-22854707
psec.gadservices@maharashtra.gov.in,022-22873845
shirish.mohod@nic.in,02222839859
ceo_maharashtra@eci.gov.in,022-22029721
ro.dgipr@maharashtra.gov.in,02222839859
dg.dgipr@maharashtra.gov.in,022-22873845
suresh.khade@nic.in,02222839859
psec.gadseo1@maharashtra.gov.in,022-22025448
tikaram.karpate@nic.in,02222839859
sec.gadseo2@maharashtra.gov.in,022-22029335
sidharth.kharat@nic.in,022-22023107
psec.higheredu@maharashtra.gov.in,022-22024851
prakash.deshmukh@nic.in,22-22883286
acs.home@maharsahtra.gov.in,022-22843711
narayan.karad@nic.in,022-22872184
psec.homeapl@maharashtra.gov.in,022-22024438
prakash.sabale@nic.in,022-22024333
acs.transport@maharashtra.gov.in,022-22886141
punam.wagade@nic.in,022-22855942
acs.home@maharashtra.gov.in,022-22029965
ramchandra.dhanawade@nic.in,022-22793448
psec.housing@maharashtra.gov.in,022-22027956
sanjay.degaonkar@nic.in,022-22815092
psec.industry@maharashtra.gov.in,22821037
bhimashankar.manta@nic.in,022-22025333
psec.energy@maharashtra.gov.in,022-22027151
shashank.sathe@nic.in,022-22025281
psec.labour@maharashtra.gov.in,022-22025301
us2.it@maharashtra.gov.in,22885845
psec.it@maharashtra.gov.in,022-22022754
akusing.vasave@nic.in,022-22048130
psec.rla@maharashtra.gov.in,022 22842328
aparna.gawde@nic.in,022 22821743
sec.marathi@maharashtra.gov.in,022-22025356
surendra.chankar@nic.in,022-22025009
acs.mededu@maharashtra.gov.in,22024243
dinesh.sonawane@nic.in,022-22842278
psec.mdd@maharashtra.gov.in,022-22048130
sharad.pawaskar@nic.in,022-22048350
sec.pad@maharashtra.gov.in,022-22821969
pradnya.mahale@nic.in,022-22026365
acs.planning@maharashtra.gov.in,022-22025393
pramod.shinde@nic.in,022-22882735
sec.wcd@maharashtra.gov.in,22026767
manohar.thombare@nic.in,022-22810391
psec.pubhealth@maharashtra.gov.in,022-22027433
anil.kulkarni66@nic.in,022-22837263
psec.pwd@maharashtra.gov.in,022-22026534
dysec1.revenue@maharashtra.gov.in,022-22883276
psec.revenue@maharashtra.gov.in,022-22027272
atul.kode@nic.in,022-22027649
sec.forest@maharashtra.gov.in,022-22027554
praksh.joshi@nic.in,22838809
r@maharashtra.gov.in,022-22617430
avinash.mate@nic.in,022-22622179
sec.rdd@maharashtra.gov.in,022-22830031
ravindra.ate@nic.in,022-22025264
psec.schedu@maharashtra.gov.in,022-22028092
ds3.socjustice@maharashtra.gov.in,022-22856484
sec.socjustice@maharashtra.gov.in,022-22024920
anees.shaikh@nic.in,022-22029496
sec.tourism@maharashtra.gov.in,022-22023565
subrao.shinde@nic.in,022-22025349
sec.tribal@maharashtra.gov.in,022-22617510
sanjay.banait@nic.in,022-22617388
psec.ud1@maharashtra.gov.in,022-22821494
sanjay.gokhale@nic.in,022-22026612
sec.ud2@maharashtra.gov.in,022-22819820
m.tashildar@nic.in,022-22024588
sec.wcd@maharashtra.gov.in,022-22846651
prashant.sajanikar@nic.in,022-22023363
psecwr.wrd@maharashtra.gov.in,022-22846687
pramod.kanade@nic.in,022-22025274
psec.wssd@maharashtra.gov.in,022-22060442
smita.nivatkar@nic.in,022-22060446
psec.wchd@maharashtra.gov.in,02222871497
,022-22025292
,022-22024459
,022-22026688
,022-22025612
,022-22023472
,022-22023377
,022-22026742
,022-22820511
,022-22026419
,022-22846757
,022-22824111
,022-22846974
,022-22025349
,022-22029282
,022-22023038
,022-22618370
,022-22626407
,022-22882092
,022-22027050
,2024
,2024
